refill_cost_KRW,annual_flow_KRW,rate,optimal_withdrawal_KRW,average_idle_cash_KRW,annual_refill_plus_holding_cost_KRW
100,100000000,0.05,632455.5320336758,316227.7660168379,31622.776601683792
10000,100000000,0.05,6324555.320336759,3162277.6601683795,316227.7660168379
