attempts,expected_accepted,cost_KRW,KRW_per_expected_accepted,expected_private_net_benefit_KRW
5,4.5,35000,7777.777777777777,-17000.0
10,9.0,40000,4444.444444444444,-4000.0
12,10.8,42000,3888.8888888888887,1200.0
20,18.0,50000,2777.777777777778,22000.0
100,90.0,130000,1444.4444444444443,230000.0
