fiscal_year,net_income,operating_cash_flow,cash_PPE_additions,CFO_less_cash_PPE,depreciation_amortization_and_other,source_id,unit,scope
2025,101832,136162,64551,71611,29433,S46,USD_millions,whole_company_not_AI_segment
2026,133749,182935,115948,66987,38534,S46,USD_millions,whole_company_not_AI_segment
